Artist	Tier	Why Fast Track	Book Check	Notes	Tour URL	First Tour	Spotify URL
Nikki Hill	Strong	BMA nominee; Alligator Records artist; blues-soul powerhouse; has toured DC/MD/VA, just missed her	RHBS	Female artist — hat signing eligible. Plays with full band including horns.	https://nikkihillrocks.com/tour		https://open.spotify.com/artist/0FyGHBqMNKEBN2HECXZ5Nk
Angelique Francis	Strong	Rising blues-rock guitarist; BMA nominee; critically acclaimed; festivals and cruises only, not yet toured DC/MD/VA		Female artist — hat signing eligible. Young Canadian guitarist-vocalist.	https://angeliquefrancis.net/shows	Y	https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408
Danielle Ponder	Medium-Strong	NPR Tiny Desk; soul-blues vocalist; seen once in a Wolf Trap multi-artist lineup — want a proper headlining set		Female artist — hat signing eligible. Strong critical consensus.	https://danielleponder.com/tour		https://open.spotify.com/artist/2j0FtBCQ3NN6dBWGb2eLAE
Evan Nicole Bell	Strong	No. 1 Roots Music Report; AMA Top Albums; Baker Artist Award 2025; Columbia MD local; not yet touring at scale		Female artist — hat signing eligible. Multi-instrumentalist — writes/produces/engineers/plays all instruments except drums. Grew up in Columbia MD. Sophomore album slated 2026. Not in either autograph book.	https://evannicolebell.com/pages/tour	Y	https://open.spotify.com/artist/5ZEzR5JFEJkNpKHXkxODpF
Garret T. Willie	Strong	25yo BC Indigenous blues-rock; Tom Hambridge-produced; opened for Kingfish, Ariel Posen, Joe Bonamassa Blues Cruise; not yet seen		Lary Chinowsky rec. Currently Western Canada / UK only — no US East Coast shows yet. Watch for first DMV date.	https://garrettwillie.com/tour	Y	https://open.spotify.com/artist/3kEtdS2pH24sD4M7rB8Rqk
Miko Marks	Strong	NPR Best Roots Music 2022; Grand Ole Opry debut 2022; Americana/country-blues vocalist blending country, blues, soul, and gospel; Millennium Stage appearance in 2023 no recent DMV history		Female artist — hat signing eligible. Plays with The Resurrectors. Flint MI native, Oakland CA based. No DMV dates currently.	https://www.mikomarks.com/shows	Y	https://open.spotify.com/artist/2pkqyjrPhrzJcdhwN80kAs
Beth Hart	Strong	Powerhouse blues-rock vocalist; frequent Joe Bonamassa collaborator; has toured DC/MD/VA before; strong follow, not yet caught in show history		Female artist — hat signing eligible. Frequent Joe Bonamassa collaborator. Not in either autograph book (checked). follows_master tier Strong, note says 'seen' but no tracked DC show history.	https://www.bethhart.com/tour-3-2/		https://open.spotify.com/artist/30TrHDLNCKQVTYWOn9QqOC
Kat Riggins	Strong	2026 BMA Soul Blues Female nominee (multiple career noms); Gulf Coast Records; no DMV dates yet		Female — hat signing eligible. Tours with 8-piece band incl. 3-horn section; Pensacola Blues Fest 2026 headliner.	https://katriggins.com/agenda		https://open.spotify.com/artist/0gE5H6j7N6LseB5laJ8m1E
Sugaray Rayford	Strong	Grammy-nominated; 2x BB King Entertainer of the Year; Bender 2026 + LRBC #45; no DMV history found		7-piece band with horns; watch for first East Coast headline date.	https://www.sugarayrayford.com/calendar		https://open.spotify.com/artist/4dctcbWDGbSj1Nn29CV4g3
Grace Bowers	Strong	2024 Americana Music Association Instrumentalist of the Year; Kingfish/Tedeschi/Donato orbit; still in small rooms — window closing; no DMV history found		Female — hat signing eligible. Not in either autograph book (checked). 18yo Nashville blues-rock guitarist/bandleader; The Hodge Podge = blues-rock + funk/soul; debut Wine On Venus (2024, John Osborne-produced); Opry debut on 18th birthday; Gibson endorsee. Already followed on BIT (orphaned follow — now documented).	https://www.gracebowers.com/shows	Y	https://open.spotify.com/artist/3JX7toZYBPbth2CCq78kBx (band entity 'The Hodge Podge'; separate 'Grace Bowers' page holds features)
